tStart,tEnd,time,dialogue,category,subject
888094,910955,22861,s3: yeah something like that.. s0: yes no you have the..the........what I understand is the process  if you don't have like some pump to back inside  the process just like ??? and ions interaction  we just put the NA+ inside of the neuron and the K+ outside  beause there is like euh,task,s3,
910955,928346,17391,s0: polarisation which like this one ???? just equilibrate the two spaces. s3: yes s0:  So and after you have like the small pump I tried draw  just to go back in the initial state,task,s0,
928346,958555,30209,s3: ok this thing is to go in initial state again : s0: yes  this it to...this...the big arrows are what's happening  normally and the small arrow are  are like working again of the nature. s2: yeah yeah so ??? s1:???? s0: the nature want to put NA+ inside and K+ until there are the same concentration inside and outside,org.wb,s3,
958555,966555,8000,s2: yea but  you know that's general but it could be ????,task,s2,
966555,971373,4818,s0: yeah it's true s2: so we did ????,task,s2,
971373,992295,20922,(silence)  ,,,
992295,997684,5389,s1: to inverse transformation,task,s1,
997684,1007454,9770,(silence),,,
1007454,1016785,9331,s3: but what...the thing is that this is...like the neuron are actually like connected to others neuron right?,task,s3,
1016785,1023888,7103,s3: so maybe we should like try to put like some other s2: yes  s3: in the other side  so we like ????,task,s3,
1023888,1032624,8736,s3: because this NA+ goes inside and then goes outside again right? so it goes inside an other one after,task,s3,
1032624,1049935,17311,s1:I...I don't think it's euh to an other one...there... there are neurons and there are in sort of.... a ...a bath of sodium and....and potassium,task,s1,
1049935,1055815,5880,(inaudible),,,
1055815,1065370,9555,s1: let's research,org.task,s1,
1065370,1073332,7962,s1: here... s0: so I tired to... s1:there...there are euh s2: but also something is record over ????,org.wb,s1,
1073332,1085454,12122,s2:??? but on another chanel  it's more than this one ????,task,s2,
1085454,1098353,12899,s2:the NA goes....so I think???? we can draw??? more and then each one is ??????,org.wb,s2,
1098353,1101293,2940,s2????,,s2,
1101293,1104722,3429,(silence),,,
1104722,1125952,21230,s2: and what we draw...s0:it really difficult to drawand interwriting with... s2:because acctually this one is only work with the ??? s1: yeah but one thing is not a neuron  everything is... s2: a neuron s1: neuron s2: so we can do... s0: but here.. s1: yeah s0: this specific thing s3:????,task,s2,
1125952,1133873,7921,s2: I mean because actually this ???? really work for thaht s1:yeah but itŝ not...ah putain c'est chiant,task,s2,
1133873,1137548,3675,s2:????,,s2,
1137548,1148233,10685,s1:euh... s2: the s??? our drawing is only... s1: but this representation is really a....zoom s0:yeah yeah s2: I think ????,org.wb,s1,
1148233,1180676,32443,s0: it's just to say that..that's permable  some stuff can go through the membrane  but you have two different process... s1: this is the membrane  so we didn't... s0:you have one process  which is like the natual one. the natural which one to basicly have the same concentration outside and inside of the membrane and you have the other one  which is a force process  using pumps to reverse the transformation to..euh to go back to euh rest...to a rest potential  s1: yes,task,s0,
1180676,1184024,3348,s0: so do you understand my.. my scheme or not?,org.wb,s0,
1184024,1203743,19719,s3: the other one... s0: it's..it's really hard to read but...yes I'm sorry  maybe..  (all laughing) maybe we can try to write it to on a    s3:eu early it's ??? s1: oh we understand it   s0: we can write it on...liike...like    s3: in..in notes  over the text...because the text I really don't understand.   s0: yes  so ok we can make some notes,org.wb,s3,
1203743,1207905,4162,s0: so basicly the pumps..euh... they reverse the transformation,task,s0,
1207905,1213784,5879,s0: here I tried to write permable membrane  but this is quite hard s1:????,org.wb,s0,
1213784,1217948,4164,s0: and this is just to say  s3: but something happend with my....,tech,,
1217948,1224561,6613,s0: yes mine to is ....   s3:it's kind...  s0: ah yes if you move I..ok it's it's,tech,s0,
1224561,1229705,5144,s0: ok so NA+ ions... s3: mine is moving without,tech,s3,
1229705,1241137,11432,s2: but you're the pink  mine red  s3: yeah yeah but... s1: maybe you move ... s3: I ..I ..I'm like someone controlly mine   s0: ok so... s2:???? s1:mine's crazy too,tech,s2,
1241137,1253791,12654,s3: wll noww it's back to reality.....no well nothing more,tech,s3,
1253791,1272652,18861,s0: wwhhaatt?  (inaudible)   s2: becarfull when you delete it'll crash no?,tech,s2,
1272652,1305965,33313,(silence),,,
1305965,1320744,14779,s0: ah sergio you're writing there too    s2: ????    s0:mmm?    s2: make notes ??? hu...    s3:oh what's happening with this....   s2:??????,interaction,s0,
1320744,1330623,9879,(inaudible),,,
1330623,1339672,9049,s2:???? s1:???   s3: K+...tends to go...   s0+s3: go outside,task,s2,
1339672,1346218,6546,(silence),,,
1346218,1355528,9310,s0: oohhhh ttttsssttt  this is really hard to collaborate......       s2:hahah,tech,s0,
1355528,1363123,7595,(silence),,,
1363123,1379267,16144,s2: what did you text in  midle on note two?    s0: I don't know   s2: ????   s0:someone deleted ??????   it was a bug ?????,interaction,s2,
1379267,1395213,15946,s0: my screen doesn't have notes anymore....so this is not cool...euh,tech,s0,
1395213,1405665,10452,s3: oh what's happening? s0: ok just one person will try it  I don't if if it??? but just to...,tech,s3,
1405665,1414309,8644,s3: and what is written here? in the other... s0: ok so  the pump reverse the transformation  and the membrane..euh,task,s3,
1414309,1424398,10089,s3:wait wait wait wait  the thing is that...ok so  like here in there...s0:ok pump reverse transformation,task,s3,
1424398,1433424,9026,S3: prents?? S0 : yes,task,s3,
1433424,1441958,8534,Silience,,,
1441958,1458643,16685,S3: pump? parm?        S2: pump          S1: sump      S0: NO  PUMP .    S3: pump what?,task,s3,
1458643,1465911,7268,S3: what information? transmition? (Typing),task,s3,
1465911,1469831,3920,S0: oh.. yes it changes,task,s0,
1469831,1486000,16169,silence ( all watching screen),,,
1486000,1493105,7105,s0:Okay then  we just have here  another one,org.wb,s0,
1493105,1500453,7348,silence,,,
1500453,1505596,5143,s0 : exchanging so far,task,s0,
1505596,1518301,12705,s2: is it done?   s1: yes  we know everything  s0 :yeah yes yes  we know definitely s2: then  we change the document,interaction,s2,
1518301,1521436,3135,s2: we change the document   s1: no no we dont,org.wb,s2,
1521436,1529192,7756,s: i just changed  s2, yes yes it is perfect,org.wb,s2
1529192,1540705,11513,silence,,,
1540705,1545767,5062,s0: do you want have any idea?,task,s0,
1545767,1566996,21229,s0: other questions?    w3: we can first answer the first question abotu comparing things   s2: nono descripte na and k in details,task,s3,
1566996,1582179,15183,s0 : yes that is basic question  s3: first we defined potential  s4, what about .. if what is happend,task,s0
1582179,1585854,3675,silence,,,
1585854,1591242,5388,s0 : i think the two question are very helpful,task,s0,
1591242,1594182,2940,silence,,,
1594182,1605122,10940,s1: we can may be .... make more questions,task,s1,
1605122,1620089,14967,s1: or several qustions.. may be.. easier question,task,s1,
1620089,1626703,6614,s0: may be we can keep them.. before annotation,task,s0,
1626703,1639931,13228,(gesture )s0 : block.. what their role? which one is out side or inside?,task,s0,
1639931,1655156,15225,s0: also   where is there more potantial.. we need empty boxes,task,s0,
1655156,1664056,8900,s2: what is sodium.. is more than others? describe what you think,task,s2,
1664056,1677186,13130,(gesture)s0: yes yes.. s3: what about activity? making the role PLAYING ROLE?  (everybody laughing),task,s3,
1677186,1690496,13310,s2: yes they will be happy.  s1: they need pump  s3: two people like pump  so take out other people a0 : ah. okay,task,s3,
1690496,1706257,15761,s0: security guide?,task,s0,
1706257,1712545,6288,silence,,,
1712545,1721772,9227,s0: no?? s2: i was thinking opposite situation,interaction,s0,
1721772,1739001,17229,s0: may be we can ask..... what is ...   here they said that for example.. um...,task,s0,
1739001,1745941,6940,s0: decreasing?,task,s0,
1745941,1750807,4866,silence,,,
1750807,1755168,4361,silence,,,
1755168,1762271,7103,s0: yes.. just basic question  what happend,task,s0,
1762271,1769915,7644,silence,,,
1769915,1789756,19841,s1: may be we can start with.. .. two main um.... no no...,task,s1,
1789756,1805270,15514,s1: two main chemical... what is the .,task,s1,
1805270,1810577,5307,s0 : we can just write.. s1: may be easy question,task,s0,
1810577,1834236,23659,s3: basic question...,task,s3,
1834236,1843053,8817,s2: natrium is more  then  what .,task,s2,
1843053,1851827,8774,s2: they can not... they have problem.. ,task,s2,
1851827,1866363,14536,s3: to understand role.. something like that.. filing the blanks. what is the DNS  s2: that's so easy. every will copy each other,task,s3,
1866363,1880370,14007,s3: to understand role. s0: we can design the program  each parameter.,task,s3,
1880370,1892732,12362,s0: i think we are... 15 mins is perfect to design the program,task,s0,
1892732,1900346,7614,s0 : is there someone drawing on screen or not s1: we frist write idea,task,s0,
1900346,1910223,9877,s0: so we have two main..,task,s0,
1910223,1916109,5886,s1: how to say? the role?,task,s1,
1916109,1919702,3593,s0: another one ask the question?,task,s0,
1919702,1932686,12984,s1: the questionis like.. s2: first question should be easy question,task,s1,
1932686,1943874,11188,s0: may be... and then we are like...um. user simulation tools,task,s0,
1943874,1955061,11187,s0 : we are like .. we like simulation,task,s0,
1955061,1957828,2767,silence,,,
1957828,1990079,32251,s3: wait wait wait  i created another page..i want to tyring to drawing this things they know waht is ??.. but.. right now. this things......   s1: if you change it for everyone.... ?? s0 : nono you cant. ,task,s3,
1990079,1996425,6346,s3: if i cahnge.. it chanes for everyone?,task,s3,
1996425,2007877,11452,s2: make here... s0: so ... you cant basically,task,s0,
2007877,2014981,7104,s0: use simulation tools.  s1, ha..,task,s0
2014981,2029397,14416,s0: so here...  s1: sergio! s3: i for got.... s0 : okay.. still you are doing.,task,s0,
2029397,2039112,9715,s0: what we have.. yes... we just mention ,task,s0,
2039112,2043520,4408,s0: this is our choices,task,s0,
2043520,2050379,6859,s0: are yo okay with that?    s1: computer simulation.. everybody will love it especially  in computer science,task,s0,
2050379,2056910,6531,s0: no.. i think it can be handy,task,s0,
2056910,2067659,10749,s0: interaction... use like screen.. move something... ,org.wb,s0,
2067659,2077001,9342,s0: no problem,task,s0,
2077001,2079694,2693,s0: we like simulation,task,s0,
2079694,2091941,12247,s2: of course it is perfect.. what if na is more .. or not otherwise what happend,task,s2,
2091941,2110966,19025,s2: okay now... s0: just realied... simulation is like .. um we can removed night club.. basic  s1: simulation is good... more...  we can relized more . s0 : to me it is cool too but..,task,s0,
2110966,2122724,11758,s0 : okay. computer simulation we keep it. ,task,s0,
2122724,2131786,9062,s2: let's make more question basic to difficult,task,s2,
2131786,2136661,4875,s0: now.. we three items... interesting,task,s0,
2136661,2143054,6393,s0 : so.. we have to design ??,task,s0,
2143054,2154998,11944,s1: what we can do.. sombody questions.. ,task,s1,
2154998,2163899,8901,s0: to me.. the best one is.. would be.. it is just my opinion something ..,task,s0,
2163899,2176473,12574,s0 : then some simulation just with parameters...,task,s0,
2176473,2185726,9253,s0: this is the others..  s3: just basic question... pu???,task,s0,
2185726,2193730,8004,s1: okay just description,task,s1,
2193730,2202223,8493,s1: because they can't ... ,task,s0,
2202223,2209081,6858,s2, yes we will offer basic picture,task,s2
2209081,2216186,7105,s1: they.. already seen this in class,task,s1,
2216186,2223535,7349,s1: should be able to answer. s2: otherwise  we will fail that course.. laughing,task,s1,
2223535,2229413,5878,s0: yes this is the other s1: it is hard,task,s0,
2229413,2237902,8489,s0: so.. then.. i dont know what they want.. ,task,s0,
2237902,2240759,2857,silence,,,
2240759,2244187,3428,s2: it is relevant each other..,task,s2,
2244187,2261313,17126, (funnyhahaha)s2:the role. role...s3: what? s2:  i have a problem prononciation with R. s1: HOLE(french R prononciation)  s0 : phoblem  s2: you know what i mean?,interaction,s2,
2261313,2274373,13060,s0 : okay. so... you are okay... now we can discuss about.,task,s0,
2274373,2279678,5305,silence,,,
2279678,2292171,12493,s3: beginning we asked about main elements.. s1: may be.. the element??,task,s3,
2292171,2303845,11674,s1: um. which direction do they go..,task,s1,
2303845,2311828,7983,(I DONT KNOW WHY.. THOMAS WATCHING ME.. LIKE SPY)silence,,,
2311828,2317631,5803,S1: anyone person.. must...,org.task,s1,
2317631,2326238,8607,s3: i have no idea... s0: who is typing? s1: sergio,org.task,s3,
2326238,2340120,13882,s3: first we have to put the..,org.task,s3,
2340120,2347632,7512,s3: then explaining the role..,task,s3,
2347632,2352938,5306,s2: but that's the same question,task,s2,
2352938,2369133,16195,s2: that's the same.. s0 : nonono.... did you see the k . alot... the other one is.. what is the role.... s2: we can make together,task,s0,
2369133,2374768,5635,s0 : what is the.. may be another one.. role of the pump,task,s0,
2374768,2379584,4816,silence,,,
2379584,2394166,14582,s0 : everything...  the bugs... the same time ,task,s0,
2394166,2402740,8574,s3: now.. we mention...  explaining the issuesss,task,s3,
2402740,2406903,4163,s2: role over.. ,task,s2,
2406903,2411965,5062,silence,,,
2411965,2416826,4861,s3: okay. then we are.. ,task,s3,
2416826,2431965,15139,s3: the pump...  s0 : and the first one... ,task,s3,
2431965,2435206,3241,s2: draw whole simulation,task,s2,
2435206,2447128,11922,s0: and then. can.. s3: what is the concept of..,task,s0,
2447128,2455820,8692,silence. ,,,
2455820,2461952,6132,s0: okay. basic question is done.let's go ,task,s0,
2461952,2468879,6927,s1: may be.. explaining the role..,task,s1,
2468879,2484663,15784,(everybody gesture)s3, tht's here. s0 : yes that's on top. s3: yeah yeah. you already s2: i didn't touch. i can not touch the mouse though.. okay okay.. then ,tech,s0
2484663,2493396,8733,s0 they said ..we should be very slow,task,s0,
2493396,2504667,11271,s0: just try to put some who can read it .. s3: it is problem to move ti s0: it is okay i got it ,task,s0,
2504667,2519043,14376,s0: okay so then.. s1: we can say whole.. the umbrain.. go to .. s3: we have liek,task,s0,
2519043,2523698,4655,s0: we have thing to.. may be we can ,task,s0,
2523698,2527607,3909,s0: we can try to ,task,s0,
2527607,2533006,5399,s3, we can.. give it writing ,org.task,s3
2533006,2547378,14372,s0: i will take care of drawing.. . s3: it is okay.. one person drawing...theother one thing  s0: so in face  we gave them basic draw,org.task,s3,
2547378,2559626,12248,s2: question number 5.  we dont need three,task,s2,
2559626,2567710,8084,silence,,,
2567710,2574968,7258,silence,,,
2574968,2579867,4899,s3: what ? s2: if k is operated..,task,s2,
2579867,2588338,8471,s2: no no if n is one of... ,task,s2,
2588338,2607633,19295,s2: i didnt touch s0 which one are you wroking s1: we must have to draw.. s2: two of..,task,s2,
2607633,2626494,18861,s2: we can put them here.. s0: no. this work verifying.. simulation.. changing the parameter what's happend,task,s2,
2626494,2635065,8571,s2: too much home work.. s3: we are the epflhell. s2: we are the bad TA,task,s2,
2635065,2639227,4162,s0: i am writing something,task,s0,
2639227,2644372,5145,s3: we have one minutes,task,s3,
2644372,2651361,6989,s2: it looks bad..,task,s2,
2651361,2654301,2940,s0: oh application crush,task,s0,
2654301,2657975,3674,s0 : okay. i think we are. ,interaction,s0,
2657975,2666777,8802,s1: quite good..  s0: i will try to better on the screen..,interaction,s0,
2666777,2672656,5879,s2: it is okay ,task,s2,
2672656,2682700,10044,s3: what's happening s2: because you know...  s1: i am just trying to ,task,s3,
2682700,2688822,6122,silence,,,
2688822,2692495,3673,silence,,,
2692495,2701233,8738,silence,,,
2701233,2703927,2694,silence,,,
2703927,2712208,8281,s1: are you caring our .. s2: TA Will hate us . S0: dont do it ,task,s2,
